cell_name,clonal_group,group_size
JR1166_1_1_A01,,
JR1166_1_1_A02,,
JR1166_1_1_A03,,
JR1166_1_1_A04,,
JR1166_1_1_A05,,
JR1166_1_1_A06,,
JR1166_1_1_A07,,
JR1166_1_1_A08,,
JR1166_1_1_A09,,
JR1166_1_1_A10,,
JR1166_1_1_A11,,
JR1166_1_1_A12,,
JR1166_1_1_A13,,
JR1166_1_1_A14,,
JR1166_1_1_A15,3,2
JR1166_1_1_A17,,
JR1166_1_1_A18,,
JR1166_1_1_A19,,
JR1166_1_1_A20,,
JR1166_1_1_A22,,
JR1166_1_1_A23,,
JR1166_1_1_A24,,
JR1166_1_1_B01,,
JR1166_1_1_B03,,
JR1166_1_1_B04,,
JR1166_1_1_B05,,
JR1166_1_1_B06,,
JR1166_1_1_B07,,
JR1166_1_1_B09,,
JR1166_1_1_B10,,
JR1166_1_1_B11,,
JR1166_1_1_B13,,
JR1166_1_1_B14,,
JR1166_1_1_B15,,
JR1166_1_1_B16,,
JR1166_1_1_B18,0,5
JR1166_1_1_B19,,
JR1166_1_1_B22,,
JR1166_1_1_B23,,
JR1166_1_1_B24,3,2
JR1166_1_1_C01,,
JR1166_1_1_C02,,
JR1166_1_1_C03,,
JR1166_1_1_C04,,
JR1166_1_1_C05,,
JR1166_1_1_C06,,
JR1166_1_1_C08,,
JR1166_1_1_C09,,
JR1166_1_1_C11,,
JR1166_1_1_C12,,
JR1166_1_1_C14,,
JR1166_1_1_C15,,
JR1166_1_1_C17,,
JR1166_1_1_C18,,
JR1166_1_1_C19,,
JR1166_1_1_C22,,
JR1166_1_1_C23,0,5
JR1166_1_1_C24,,
JR1166_1_1_D01,,
JR1166_1_1_D02,,
JR1166_1_1_D03,,
JR1166_1_1_D04,,
JR1166_1_1_D05,,
JR1166_1_1_D06,,
JR1166_1_1_D07,,
JR1166_1_1_D08,0,5
JR1166_1_1_D09,,
JR1166_1_1_D10,,
JR1166_1_1_D11,,
JR1166_1_1_D12,,
JR1166_1_1_D13,,
JR1166_1_1_D15,,
JR1166_1_1_D16,,
JR1166_1_1_D17,,
JR1166_1_1_D18,,
JR1166_1_1_D19,,
JR1166_1_1_D20,,
JR1166_1_1_D22,,
JR1166_1_1_D23,,
JR1166_1_1_D24,1,2
JR1166_1_1_E01,,
JR1166_1_1_E02,,
JR1166_1_1_E03,,
JR1166_1_1_E04,,
JR1166_1_1_E05,,
JR1166_1_1_E06,,
JR1166_1_1_E07,,
JR1166_1_1_E08,,
JR1166_1_1_E09,,
JR1166_1_1_E10,,
JR1166_1_1_E11,,
JR1166_1_1_E13,,
JR1166_1_1_E15,,
JR1166_1_1_E16,,
JR1166_1_1_E17,,
JR1166_1_1_E18,,
JR1166_1_1_E19,,
JR1166_1_1_E20,,
JR1166_1_1_E22,,
JR1166_1_1_E23,,
JR1166_1_1_E24,,
JR1166_1_1_F01,,
JR1166_1_1_F02,,
JR1166_1_1_F03,,
JR1166_1_1_F04,,
JR1166_1_1_F05,,
JR1166_1_1_F06,,
JR1166_1_1_F07,,
JR1166_1_1_F08,,
JR1166_1_1_F09,,
JR1166_1_1_F10,,
JR1166_1_1_F11,,
JR1166_1_1_F13,,
JR1166_1_1_F14,,
JR1166_1_1_F16,,
JR1166_1_1_F17,,
JR1166_1_1_F18,,
JR1166_1_1_F19,,
JR1166_1_1_F20,,
JR1166_1_1_F22,,
JR1166_1_1_F23,,
JR1166_1_1_F24,,
JR1166_1_1_G01,,
JR1166_1_1_G02,,
JR1166_1_1_G04,,
JR1166_1_1_G05,,
JR1166_1_1_G06,,
JR1166_1_1_G07,,
JR1166_1_1_G08,,
JR1166_1_1_G10,,
JR1166_1_1_G11,,
JR1166_1_1_G13,,
JR1166_1_1_G14,,
JR1166_1_1_G15,,
JR1166_1_1_G16,,
JR1166_1_1_G17,,
JR1166_1_1_G19,,
JR1166_1_1_G21,,
JR1166_1_1_G22,,
JR1166_1_1_G23,,
JR1166_1_1_G24,,
JR1166_1_1_H02,,
JR1166_1_1_H03,,
JR1166_1_1_H04,,
JR1166_1_1_H05,,
JR1166_1_1_H06,,
JR1166_1_1_H08,,
JR1166_1_1_H09,,
JR1166_1_1_H10,,
JR1166_1_1_H11,,
JR1166_1_1_H12,,
JR1166_1_1_H13,,
JR1166_1_1_H14,,
JR1166_1_1_H15,,
JR1166_1_1_H16,,
JR1166_1_1_H18,,
JR1166_1_1_H19,,
JR1166_1_1_H20,,
JR1166_1_1_H22,,
JR1166_1_1_H23,,
JR1166_1_1_H24,,
JR1166_1_1_I02,,
JR1166_1_1_I03,,
JR1166_1_1_I04,,
JR1166_1_1_I05,,
JR1166_1_1_I07,,
JR1166_1_1_I08,4,2
JR1166_1_1_I09,,
JR1166_1_1_I10,,
JR1166_1_1_I11,,
JR1166_1_1_I12,,
JR1166_1_1_I13,,
JR1166_1_1_I14,,
JR1166_1_1_I15,,
JR1166_1_1_I16,,
JR1166_1_1_I17,,
JR1166_1_1_I18,,
JR1166_1_1_I19,,
JR1166_1_1_I20,,
JR1166_1_1_I22,,
JR1166_1_1_I23,,
JR1166_1_1_I24,,
JR1166_1_1_J01,,
JR1166_1_1_J02,,
JR1166_1_1_J03,,
JR1166_1_1_J04,,
JR1166_1_1_J05,,
JR1166_1_1_J06,,
JR1166_1_1_J07,,
JR1166_1_1_J08,,
JR1166_1_1_J09,,
JR1166_1_1_J10,,
JR1166_1_1_J11,,
JR1166_1_1_J13,,
JR1166_1_1_J14,,
JR1166_1_1_J15,,
JR1166_1_1_J16,,
JR1166_1_1_J17,,
JR1166_1_1_J19,,
JR1166_1_1_J20,,
JR1166_1_1_J23,,
JR1166_1_1_J24,,
JR1166_1_1_K01,,
JR1166_1_1_K02,,
JR1166_1_1_K03,,
JR1166_1_1_K04,,
JR1166_1_1_K05,,
JR1166_1_1_K06,,
JR1166_1_1_K07,,
JR1166_1_1_K08,,
JR1166_1_1_K09,,
JR1166_1_1_K10,,
JR1166_1_1_K11,,
JR1166_1_1_K12,,
JR1166_1_1_K14,,
JR1166_1_1_K15,1,2
JR1166_1_1_K16,,
JR1166_1_1_K17,,
JR1166_1_1_K18,,
JR1166_1_1_K19,,
JR1166_1_1_K21,,
JR1166_1_1_K22,,
JR1166_1_1_K23,,
JR1166_1_1_K24,,
JR1166_1_1_L01,,
JR1166_1_1_L02,,
JR1166_1_1_L03,,
JR1166_1_1_L04,,
JR1166_1_1_L05,,
JR1166_1_1_L06,,
JR1166_1_1_L07,,
JR1166_1_1_L08,,
JR1166_1_1_L09,,
JR1166_1_1_L10,,
JR1166_1_1_L11,,
JR1166_1_1_L12,,
JR1166_1_1_L13,,
JR1166_1_1_L14,,
JR1166_1_1_L16,,
JR1166_1_1_L17,0,5
JR1166_1_1_L18,,
JR1166_1_1_L19,,
JR1166_1_1_L20,,
JR1166_1_1_L21,,
JR1166_1_1_L22,,
JR1166_1_1_M02,,
JR1166_1_1_M03,,
JR1166_1_1_M05,,
JR1166_1_1_M07,,
JR1166_1_1_M08,,
JR1166_1_1_M09,,
JR1166_1_1_M11,,
JR1166_1_1_M12,,
JR1166_1_1_M13,,
JR1166_1_2_A01,,
JR1166_1_2_A03,,
JR1166_1_2_A05,,
JR1166_1_2_A08,,
JR1166_1_2_B01,,
JR1166_1_2_B07,,
JR1166_1_2_C01,,
JR1166_1_2_C13,,
JR1166_1_2_D01,,
JR1166_1_2_D06,,
JR1166_1_2_F01,,
JR1166_1_2_F04,,
JR1166_1_2_G01,,
JR1166_1_2_H01,,
JR1166_1_2_H04,,
JR1166_1_2_I01,4,2
JR1166_1_2_J01,0,5
JR1166_1_2_J11,,
JR1166_1_2_J14,,
JR1166_1_2_K01,,
JR1166_1_2_K13,2,2
JR1166_1_2_K14,,
JR1166_1_2_L01,,
JR1166_1_2_M01,2,2
JR1166_1_2_N04,,
JR1166_1_2_N06,,
JR1166_1_2_N16,,
JR1166_1_2_O01,,
JR1166_1_2_O07,,
JR1166_1_2_O12,,
JR1166_1_2_P01,,
JR1166_1_2_P02,,
JR1166_1_2_P08,,
JR1227_1_1_A01,,
JR1227_1_1_A02,,
JR1227_1_1_A03,,
JR1227_1_1_A04,,
JR1227_1_1_A06,,
JR1227_1_1_A15,,
JR1227_1_1_A16,11,21
JR1227_1_1_A19,,
JR1227_1_1_B01,,
JR1227_1_1_B03,,
JR1227_1_1_B05,7,7
JR1227_1_1_B06,,
JR1227_1_1_B07,3,2
JR1227_1_1_B09,,
JR1227_1_1_B10,,
JR1227_1_1_B11,,
JR1227_1_1_B12,,
JR1227_1_1_B13,,
JR1227_1_1_B14,,
JR1227_1_1_B15,,
JR1227_1_1_B16,,
JR1227_1_1_B18,,
JR1227_1_1_C02,,
JR1227_1_1_C03,,
JR1227_1_1_C04,,
JR1227_1_1_C05,,
JR1227_1_1_C07,,
JR1227_1_1_C08,,
JR1227_1_1_C09,,
JR1227_1_1_C10,,
JR1227_1_1_C11,,
JR1227_1_1_C12,,
JR1227_1_1_C13,,
JR1227_1_1_C14,,
JR1227_1_1_C15,,
JR1227_1_1_C16,,
JR1227_1_1_C17,,
JR1227_1_1_C18,,
JR1227_1_1_C19,,
JR1227_1_1_D01,,
JR1227_1_1_D02,,
JR1227_1_1_D03,,
JR1227_1_1_D05,,
JR1227_1_1_D06,,
JR1227_1_1_D07,,
JR1227_1_1_D08,,
JR1227_1_1_D09,,
JR1227_1_1_D10,,
JR1227_1_1_D11,,
JR1227_1_1_D12,,
JR1227_1_1_D13,20,2
JR1227_1_1_D14,,
JR1227_1_1_D16,,
JR1227_1_1_D17,,
JR1227_1_1_D18,,
JR1227_1_1_D19,,
JR1227_1_1_E01,,
JR1227_1_1_E02,,
JR1227_1_1_E03,,
JR1227_1_1_E04,,
JR1227_1_1_E06,,
JR1227_1_1_E07,,
JR1227_1_1_E08,,
JR1227_1_1_E09,,
JR1227_1_1_E10,,
JR1227_1_1_E12,16,2
JR1227_1_1_E14,,
JR1227_1_1_E15,,
JR1227_1_1_E16,,
JR1227_1_1_E17,,
JR1227_1_1_E18,,
JR1227_1_1_E19,,
JR1227_1_1_F01,,
JR1227_1_1_F02,,
JR1227_1_1_F03,,
JR1227_1_1_F05,,
JR1227_1_1_F06,,
JR1227_1_1_F07,,
JR1227_1_1_F08,,
JR1227_1_1_F09,13,2
JR1227_1_1_F10,,
JR1227_1_1_F11,,
JR1227_1_1_F13,,
JR1227_1_1_F15,,
JR1227_1_1_F16,,
JR1227_1_1_F17,,
JR1227_1_1_F19,4,15
JR1227_1_1_G01,5,11
JR1227_1_1_G02,,
JR1227_1_1_G04,,
JR1227_1_1_G05,,
JR1227_1_1_G06,,
JR1227_1_1_G07,,
JR1227_1_1_G09,,
JR1227_1_1_G10,,
JR1227_1_1_G12,,
JR1227_1_1_G13,7,7
JR1227_1_1_G14,,
JR1227_1_1_G15,,
JR1227_1_1_G16,,
JR1227_1_1_G18,,
JR1227_1_1_H01,,
JR1227_1_1_H02,,
JR1227_1_1_H03,,
JR1227_1_1_H06,,
JR1227_1_1_H07,,
JR1227_1_1_H08,,
JR1227_1_1_H09,,
JR1227_1_1_H10,,
JR1227_1_1_H11,,
JR1227_1_1_H13,,
JR1227_1_1_H14,,
JR1227_1_1_H15,,
JR1227_1_1_H16,,
JR1227_1_1_H19,,
JR1227_1_1_I01,,
JR1227_1_1_I02,,
JR1227_1_1_I04,,
JR1227_1_1_I05,,
JR1227_1_1_I06,,
JR1227_1_1_I07,,
JR1227_1_1_I08,,
JR1227_1_1_I09,,
JR1227_1_1_I10,,
JR1227_1_1_I11,,
JR1227_1_1_I12,,
JR1227_1_1_I13,,
JR1227_1_1_I14,,
JR1227_1_1_I15,,
JR1227_1_1_I16,,
JR1227_1_1_I17,,
JR1227_1_1_I18,,
JR1227_1_1_J01,,
JR1227_1_1_J03,,
JR1227_1_1_J04,,
JR1227_1_1_J05,,
JR1227_1_1_J06,,
JR1227_1_1_J09,,
JR1227_1_1_J10,,
JR1227_1_1_J11,,
JR1227_1_1_J12,,
JR1227_1_1_J13,,
JR1227_1_1_J14,,
JR1227_1_1_J15,,
JR1227_1_1_J16,,
JR1227_1_1_J17,,
JR1227_1_1_J18,,
JR1227_1_1_J19,,
JR1227_1_1_K02,,
JR1227_1_1_K03,,
JR1227_1_1_K04,,
JR1227_1_1_K06,,
JR1227_1_1_K08,,
JR1227_1_1_K09,,
JR1227_1_1_K10,,
JR1227_1_1_K11,,
JR1227_1_1_K12,,
JR1227_1_1_K13,,
JR1227_1_1_K15,,
JR1227_1_1_K16,,
JR1227_1_1_K17,,
JR1227_1_1_K18,,
JR1227_1_1_K19,,
JR1227_1_1_L01,4,15
JR1227_1_1_L02,,
JR1227_1_1_L03,,
JR1227_1_1_L04,,
JR1227_1_1_L05,,
JR1227_1_1_L06,,
JR1227_1_1_L07,,
JR1227_1_1_L08,,
JR1227_1_1_L09,,
JR1227_1_1_L10,,
JR1227_1_1_L11,,
JR1227_1_1_L12,,
JR1227_1_1_L14,,
JR1227_1_1_L15,,
JR1227_1_1_L16,,
JR1227_1_1_L17,,
JR1227_1_1_L18,,
JR1227_1_1_L19,,
JR1227_1_1_M01,,
JR1227_1_1_M03,,
JR1227_1_1_M04,,
JR1227_1_1_M05,,
JR1227_1_1_M06,,
JR1227_1_1_M08,,
JR1227_1_1_M09,,
JR1227_1_1_M11,,
JR1227_1_1_M12,,
JR1227_1_1_M13,,
JR1227_1_1_M14,,
JR1227_1_1_M15,11,21
JR1227_1_1_M16,,
JR1227_1_1_M17,,
JR1227_1_1_N01,,
JR1227_1_1_N03,,
JR1227_1_1_N04,,
JR1227_1_1_N05,,
JR1227_1_1_N06,,
JR1227_1_1_N07,,
JR1227_1_1_N08,,
JR1227_1_1_N09,,
JR1227_1_1_N10,11,21
JR1227_1_1_N12,,
JR1227_1_1_N13,,
JR1227_1_1_N14,,
JR1227_1_1_N15,,
JR1227_1_1_N16,,
JR1227_1_1_N17,,
JR1227_1_1_N18,,
JR1227_1_1_N19,,
JR1227_1_1_O01,,
JR1227_1_1_O02,13,2
JR1227_1_1_O03,,
JR1227_1_1_O04,,
JR1227_1_1_O05,,
JR1227_1_1_O06,,
JR1227_1_1_O07,,
JR1227_1_1_O09,,
JR1227_1_1_O10,,
JR1227_1_1_O11,,
JR1227_1_1_O12,,
JR1227_1_1_O13,2,7
JR1227_1_1_O14,9,4
JR1227_1_1_O15,,
JR1227_1_1_O17,18,3
JR1227_1_1_O18,,
JR1227_1_1_O19,,
JR1227_1_1_P02,,
JR1227_1_1_P03,,
JR1227_1_1_P04,,
JR1227_1_1_P05,,
JR1227_1_1_P06,,
JR1227_1_1_P07,,
JR1227_1_1_P08,,
JR1227_1_1_P09,,
JR1227_1_1_P10,5,11
JR1227_1_1_P11,,
JR1227_1_1_P12,,
JR1227_1_1_P13,,
JR1227_1_1_P14,,
JR1227_1_1_P15,,
JR1227_1_1_P16,,
JR1227_1_1_P18,,
JR1227_1_2_A01,,
JR1227_1_2_A03,,
JR1227_1_2_A07,11,21
JR1227_1_2_B01,,
JR1227_1_2_C01,4,15
JR1227_1_2_C03,6,3
