cell_name,clonal_group,group_size
JR1227_1_2_C06,23,3
JR1227_1_2_D08,,
JR1227_1_2_E05,,
JR1227_1_2_E08,,
JR1227_1_2_F03,9,4
JR1227_1_2_F06,,
JR1227_1_2_G05,,
JR1227_1_2_H04,,
JR1227_1_2_H06,19,4
JR1227_1_2_I01,11,21
JR1227_1_2_I02,,
JR1227_1_2_I04,9,4
JR1227_1_2_K06,,
JR1227_1_2_L05,,
JR1227_1_2_L06,,
JR1227_1_2_M03,,
JR1227_1_2_M05,28,2
JR1227_1_2_N01,,
JR1227_1_2_N04,11,21
JR1227_1_2_N07,,
JR1227_1_2_O02,,
JR1227_1_2_O08,,
JR1227_1_2_P02,,
JR1227_1_2_P03,,
JR1227_1_2_P06,,
JR1227_1_3_B02,,
JR1227_1_3_C03,,
JR1227_1_3_E02,,
JR1227_1_3_E03,,
JR1227_1_3_G01,22,4
JR1227_1_3_G02,,
JR1227_1_3_I02,,
JR1227_1_3_K02,,
JR1227_1_3_M01,5,11
JR1227_1_3_O01,,
JR1227_1_3_O02,,
JR1284_1_1_A01,,
JR1284_1_1_A02,,
JR1284_1_1_A03,,
JR1284_1_1_A04,,
JR1284_1_1_A05,27,2
JR1284_1_1_A06,,
JR1284_1_1_A07,,
JR1284_1_1_A08,,
JR1284_1_1_A09,,
JR1284_1_1_A10,5,2
JR1284_1_1_A11,,
JR1284_1_1_B01,,
JR1284_1_1_B03,,
JR1284_1_1_B04,,
JR1284_1_1_B05,,
JR1284_1_1_B06,,
JR1284_1_1_B07,,
JR1284_1_1_B08,,
JR1284_1_1_B09,,
JR1284_1_1_B10,,
JR1284_1_1_B11,,
JR1284_1_1_B12,17,2
JR1284_1_1_C01,,
JR1284_1_1_C02,15,3
JR1284_1_1_C03,,
JR1284_1_1_C04,,
JR1284_1_1_C05,,
JR1284_1_1_C06,,
JR1284_1_1_C07,,
JR1284_1_1_C08,,
JR1284_1_1_C09,,
JR1284_1_1_C10,,
JR1284_1_1_C11,,
JR1284_1_1_C12,,
JR1284_1_1_D01,,
JR1284_1_1_D02,,
JR1284_1_1_D03,,
JR1284_1_1_D05,,
JR1284_1_1_D06,,
JR1284_1_1_D07,21,8
JR1284_1_1_D08,,
JR1284_1_1_D09,,
JR1284_1_1_D10,,
JR1284_1_1_D11,22,3
JR1284_1_1_E01,,
JR1284_1_1_E02,,
JR1284_1_1_E03,,
JR1284_1_1_E05,21,8
JR1284_1_1_E06,,
JR1284_1_1_E07,,
JR1284_1_1_E08,,
JR1284_1_1_E09,23,2
JR1284_1_1_E10,,
JR1284_1_1_E11,0,23
JR1284_1_1_E12,,
JR1284_1_1_F02,,
JR1284_1_1_F03,,
JR1284_1_1_F04,,
JR1284_1_1_F06,,
JR1284_1_1_F08,,
JR1284_1_1_F10,,
JR1284_1_1_F11,,
JR1284_1_1_F12,16,3
JR1284_1_1_G01,,
JR1284_1_1_G02,,
JR1284_1_1_G03,,
JR1284_1_1_G04,,
JR1284_1_1_G05,,
JR1284_1_1_G06,,
JR1284_1_1_G07,,
JR1284_1_1_G09,,
JR1284_1_1_G10,,
JR1284_1_1_G11,,
JR1284_1_1_G12,,
JR1284_1_1_H01,,
JR1284_1_1_H02,,
JR1284_1_1_H03,,
JR1284_1_1_H04,,
JR1284_1_1_H05,,
JR1284_1_1_H08,,
JR1284_1_1_H09,,
JR1284_1_1_H10,,
JR1284_1_1_H11,,
JR1284_1_1_H12,,
JR1284_1_1_I01,,
JR1284_1_1_I02,,
JR1284_1_1_I03,,
JR1284_1_1_I04,,
JR1284_1_1_I05,,
JR1284_1_1_I06,,
JR1284_1_1_I07,,
JR1284_1_1_I08,,
JR1284_1_1_I11,6,4
JR1284_1_1_I12,11,2
JR1284_1_1_J01,,
JR1284_1_1_J02,,
JR1284_1_1_J03,4,4
JR1284_1_1_J04,,
JR1284_1_1_J05,,
JR1284_1_1_J06,,
JR1284_1_1_J07,,
JR1284_1_1_J08,,
JR1284_1_1_J09,,
JR1284_1_1_J10,,
JR1284_1_1_J11,,
JR1284_1_1_J12,,
JR1284_1_1_K01,,
JR1284_1_1_K02,,
JR1284_1_1_K03,,
JR1284_1_1_K04,,
JR1284_1_1_K05,,
JR1284_1_1_K06,,
JR1284_1_1_K09,,
JR1284_1_1_K10,,
JR1284_1_1_K11,,
JR1284_1_1_L01,,
JR1284_1_1_L02,,
JR1284_1_1_L03,,
JR1284_1_1_L04,,
JR1284_1_1_L05,,
JR1284_1_1_L06,,
JR1284_1_1_L07,,
JR1284_1_1_L08,,
JR1284_1_1_L09,,
JR1284_1_1_L10,,
JR1284_1_1_L11,,
JR1284_1_1_L12,18,2
JR1284_1_1_M04,,
JR1284_1_1_M05,,
JR1284_1_1_M06,,
JR1284_1_1_M07,,
JR1284_1_1_M08,,
JR1284_1_1_M09,,
JR1284_1_1_M10,9,2
JR1284_1_1_M11,,
JR1284_1_1_M12,,
JR1284_1_1_N01,26,4
JR1284_1_1_N02,21,8
JR1284_1_1_N03,,
JR1284_1_1_N04,,
JR1284_1_1_N05,,
JR1284_1_1_N06,,
JR1284_1_1_N07,,
JR1284_1_1_N08,,
JR1284_1_1_N09,,
JR1284_1_1_N10,,
JR1284_1_1_N11,,
JR1284_1_1_O01,,
JR1284_1_1_O02,,
JR1284_1_1_O03,,
JR1284_1_1_O04,,
JR1284_1_1_O05,,
JR1284_1_1_O07,,
JR1284_1_1_O08,7,3
JR1284_1_1_O09,,
JR1284_1_1_O10,,
JR1284_1_1_O11,,
JR1284_1_1_P01,,
JR1284_1_1_P02,0,23
JR1284_1_1_P03,0,23
JR1284_1_1_P04,,
JR1284_1_1_P05,,
JR1284_1_1_P06,,
JR1284_1_1_P07,,
JR1284_1_1_P08,3,2
JR1284_1_1_P09,20,2
JR1284_1_1_P10,,
JR1284_1_1_P11,3,2
JR1284_1_2_A01,16,3
JR1284_1_2_A03,11,2
JR1284_1_2_A04,,
JR1284_1_2_A05,,
JR1284_1_2_A06,20,2
JR1284_1_2_B01,,
JR1284_1_2_B02,,
JR1284_1_2_B03,,
JR1284_1_2_B04,,
JR1284_1_2_B05,,
JR1284_1_2_B06,,
JR1284_1_2_C01,,
JR1284_1_2_C02,,
JR1284_1_2_C03,,
JR1284_1_2_C04,,
JR1284_1_2_C05,12,3
JR1284_1_2_C06,,
JR1284_1_2_D01,,
JR1284_1_2_D02,,
JR1284_1_2_D03,,
JR1284_1_2_D04,,
JR1284_1_2_D05,,
JR1284_1_2_D06,,
JR1284_1_2_E01,,
JR1284_1_2_E02,,
JR1284_1_2_E03,,
JR1284_1_2_E04,7,3
JR1284_1_2_E05,,
JR1284_1_2_E06,,
JR1284_1_2_F01,,
JR1284_1_2_F02,,
JR1284_1_2_F03,,
JR1284_1_2_F04,,
JR1284_1_2_F05,0,23
JR1284_1_2_F06,,
JR1284_1_2_G01,,
JR1284_1_2_G02,,
JR1284_1_2_G03,,
JR1284_1_2_G05,,
JR1284_1_2_G06,,
JR1284_1_2_H01,,
JR1284_1_2_H02,,
JR1284_1_2_H03,,
JR1284_1_2_H04,,
JR1284_1_2_H05,,
JR1284_1_2_H06,,
JR1284_1_2_I01,,
JR1284_1_2_I02,,
JR1284_1_2_I03,,
JR1284_1_2_I04,,
JR1284_1_2_I05,,
JR1284_1_2_I06,,
JR1284_1_2_J01,,
JR1284_1_2_J02,,
JR1284_1_2_J03,,
JR1284_1_2_J04,10,2
JR1284_1_2_J05,5,2
JR1284_1_2_J06,,
JR1284_1_2_K01,,
JR1284_1_2_K02,,
JR1284_1_2_K03,28,2
JR1284_1_2_K04,,
JR1284_1_2_K05,,
JR1284_1_2_L01,,
JR1284_1_2_L02,,
JR1284_1_2_L03,,
JR1284_1_2_L04,,
JR1284_1_2_L05,,
JR1284_1_2_L06,,
JR1284_1_2_M01,,
JR1284_1_2_M02,10,2
JR1284_1_2_M03,,
JR1284_1_2_M04,,
JR1284_1_2_M05,14,3
JR1284_1_2_M06,,
JR1284_1_2_N01,,
JR1284_1_2_N02,,
JR1284_1_2_N03,19,2
JR1284_1_2_N04,,
JR1284_1_2_N05,,
JR1284_1_2_N06,,
JR1284_1_2_O01,14,3
JR1284_1_2_O02,,
JR1284_1_2_O05,,
JR1284_1_2_O06,,
JR1284_1_2_P01,,
JR1284_1_2_P02,,
JR1284_1_2_P03,,
JR1284_1_2_P04,,
JR1284_1_2_P05,12,3
JR1284_1_2_P06,,
JR1284_1_3_A01,,
JR1284_1_3_A03,25,2
JR1284_1_3_A05,,
JR1284_1_3_A07,,
JR1284_1_3_A08,25,2
JR1284_1_3_A09,,
JR1284_1_3_A10,,
JR1284_1_3_A11,,
JR1284_1_3_A12,16,3
JR1284_1_3_B01,,
JR1284_1_3_B02,,
JR1284_1_3_B03,,
JR1284_1_3_B04,12,3
JR1284_1_3_B05,,
JR1284_1_3_B06,,
JR1284_1_3_B07,,
JR1284_1_3_B08,9,2
JR1284_1_3_B09,,
JR1284_1_3_B10,,
JR1284_1_3_B11,,
JR1284_1_3_C02,,
JR1284_1_3_C03,,
JR1284_1_3_C04,,
JR1284_1_3_C05,,
JR1284_1_3_C06,,
JR1284_1_3_C07,,
JR1284_1_3_C08,,
JR1284_1_3_C09,,
JR1284_1_3_C10,,
JR1284_1_3_C11,29,2
JR1284_1_3_C12,,
JR1284_1_3_D01,,
JR1284_1_3_D02,,
JR1284_1_3_D03,,
JR1284_1_3_D04,23,2
JR1284_1_3_D05,,
JR1284_1_3_D06,,
JR1284_1_3_D07,,
JR1284_1_3_D08,,
JR1284_1_3_D09,,
JR1284_1_3_D10,4,4
JR1284_1_3_D11,,
JR1284_1_3_D12,,
JR1284_1_3_E01,4,4
JR1284_1_3_E02,,
JR1284_1_3_E03,,
JR1284_1_3_E04,,
JR1284_1_3_E05,,
JR1284_1_3_E06,,
JR1284_1_3_E07,,
JR1284_1_3_E09,17,2
JR1284_1_3_E10,,
JR1284_1_3_E11,29,2
JR1284_1_3_E12,,
JR1284_1_3_F01,4,4
JR1284_1_3_F02,,
JR1284_1_3_F03,,
JR1284_1_3_F04,,
JR1284_1_3_F05,,
JR1284_1_3_F06,,
JR1284_1_3_F07,,
JR1284_1_3_F08,2,8
JR1284_1_3_F09,,
JR1284_1_3_F10,,
JR1284_1_3_F11,,
JR1284_1_3_F12,,
JR1284_1_3_G01,,
JR1284_1_3_G02,0,23
JR1284_1_3_G03,,
JR1284_1_3_G05,,
JR1284_1_3_G06,,
JR1284_1_3_G08,,
JR1284_1_3_G09,,
JR1284_1_3_G10,,
JR1284_1_3_G11,,
JR1284_1_3_H01,,
JR1284_1_3_H02,,
JR1284_1_3_H03,,
JR1284_1_3_H05,,
JR1284_1_3_H06,,
JR1284_1_3_H07,,
JR1284_1_3_H08,,
JR1284_1_3_H09,19,2
JR1284_1_3_H12,,
JR1284_1_3_I01,,
JR1284_1_3_I03,,
JR1284_1_3_I04,,
JR1284_1_3_I05,,
JR1284_1_3_I06,,
JR1284_1_3_I08,,
JR1284_1_3_I09,,
JR1284_1_3_I10,,
JR1284_1_3_I11,28,2
JR1284_1_3_I12,,
JR1284_1_3_J01,,
JR1284_1_3_J02,,
JR1284_1_3_J03,,
JR1284_1_3_J04,2,8
JR1284_1_3_J05,,
JR1284_1_3_J06,,
JR1284_1_3_J07,,
JR1284_1_3_J08,,
JR1284_1_3_J09,,
JR1284_1_3_J10,,
JR1284_1_3_J11,21,8
JR1284_1_3_J12,26,4
JR1284_1_3_K01,,
JR1284_1_3_K03,,
JR1284_1_3_K04,,
JR1284_1_3_K05,,
JR1284_1_3_K07,27,2
JR1284_1_3_K09,,
JR1284_1_3_K10,,
JR1284_1_3_K12,,
JR1284_1_3_L01,,
JR1284_1_3_L02,,
JR1284_1_3_L03,,
JR1284_1_3_L04,,
JR1284_1_3_L05,,
JR1284_1_3_L06,,
JR1284_1_3_L07,,
JR1284_1_3_L08,,
JR1284_1_3_L09,2,8
JR1284_1_3_L10,,
JR1284_1_3_L11,,
JR1284_1_3_L12,,
JR1284_1_3_M01,,
JR1284_1_3_M02,,
JR1284_1_3_M03,,
JR1284_1_3_M05,,
JR1284_1_3_M06,,
JR1284_1_3_M08,,
JR1284_1_3_M09,,
JR1284_1_3_M10,,
JR1284_1_3_M11,,
JR1284_1_3_M12,,
JR1284_1_3_N01,,
JR1284_1_3_N02,,
JR1284_1_3_N03,,
JR1284_1_3_N04,8,2
JR1284_1_3_N05,,
JR1284_1_3_N06,,
JR1284_1_3_N08,,
JR1284_1_3_N09,,
JR1284_1_3_N10,,
JR1284_1_3_N11,,
JR1284_1_3_N12,,
JR1284_1_3_O01,,
JR1284_1_3_O02,,
JR1284_1_3_O03,,
JR1284_1_3_O04,,
JR1284_1_3_O05,,
JR1284_1_3_O06,,
JR1284_1_3_O07,,
JR1284_1_3_O08,0,23
JR1284_1_3_O12,,
JR1284_1_3_P01,18,2
JR1284_1_3_P02,,
JR1284_1_3_P04,,
JR1284_1_3_P05,,
JR1284_1_3_P06,,
JR1284_1_3_P07,26,4
JR1284_1_3_P08,,
JR1284_1_3_P09,,
JR1284_1_3_P10,,
JR1284_1_3_P11,,
JR1284_1_4_A01,,
JR1284_1_4_A02,0,23
JR1284_1_4_A04,30,2
JR1284_1_4_B02,,
JR1284_1_4_B03,26,4
JR1284_1_4_B04,0,23
JR1284_1_4_C02,14,3
JR1284_1_4_C04,15,3
JR1284_1_4_E02,22,3
JR1284_1_4_E06,,
JR1284_1_4_F02,2,8
JR1284_1_4_F03,0,23
JR1284_1_4_F05,2,8
JR1284_1_4_G06,,
JR1284_1_4_H06,,
JR1284_1_4_I03,,
JR1284_1_4_J01,0,23
JR1284_1_4_K02,2,8
JR1284_1_4_L03,,
JR1284_1_4_L05,8,2
JR1284_1_4_M02,0,23
JR1284_1_4_M03,21,8
JR1284_1_4_O04,0,23
JR1284_1_4_O06,,
JR1284_1_4_P01,7,3
JR1284_1_4_P02,6,4
JR1284_1_4_P03,,
JR1284_1_4_P04,0,23
JR1284_1_5_A01,,
JR1284_1_5_B02,,
JR1284_1_5_B04,0,23
JR1284_1_5_C01,2,8
JR1284_1_5_C02,,
JR1284_1_5_C04,,
JR1284_1_5_C05,0,23
JR1284_1_5_D01,,
JR1284_1_5_E01,0,23
JR1284_1_5_E03,1,2
JR1284_1_5_E04,0,23
JR1284_1_5_E05,1,2
JR1284_1_5_E06,,
JR1284_1_5_G01,,
JR1284_1_5_G02,0,23
JR1284_1_5_G03,13,2
JR1284_1_5_G06,,
JR1284_1_5_H03,,
JR1284_1_5_I02,0,23
JR1284_1_5_I03,,
JR1284_1_5_J02,0,23
JR1284_1_5_J04,15,3
JR1284_1_5_K01,2,8
JR1284_1_5_L01,0,23
JR1284_1_5_L03,,
JR1284_1_5_L06,0,23
JR1284_1_5_M01,22,3
JR1284_1_5_M02,6,4
JR1284_1_5_N02,13,2
JR1284_1_5_N05,21,8
JR1284_1_5_O02,24,2
JR1284_1_5_O05,24,2
JR1284_1_5_O06,0,23
JR1284_1_5_P02,30,2
JR1284_1_6_A01,,
JR1284_1_6_D04,,
JR1284_1_6_G01,6,4
JR1284_1_X_N04,21,8
JR1284_1_X_N05,21,8