CELL,HamClone,SubClone,Germline_all_mut,Germline_replacement_mut,Cell_1_all_mut,Cell_1_replacement_mut,Cell_2_all_mut,Cell_2_replacement_mut,Cell_3_all_mut,Cell_3_replacement_mut,Cell_4_all_mut,Cell_4_replacement_mut,Cell_5_all_mut,Cell_5_replacement_mut,Cell_6_all_mut,Cell_6_replacement_mut,Cell_7_all_mut,Cell_7_replacement_mut,maxAllMutDist,maxRepMutDist
1166_1_2_N14,5,1,29,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_H14,5,1,31,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_J02,5,1,31,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_B12,8,1,22,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_1_G12,8,1,22,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_K02,20,1,21,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_P01,20,1,21,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_K03,44,1,30,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_3_C01,44,1,32,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_4_E01,75,1,58,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_P03,75,2,68,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_L03,75,3,58,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_2_O04,75,4,64,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_5_F06,75,5,57,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_L04,75,6,60,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1166_1_2_J04,83,1,19,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_1_H01,83,1,19,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_E06,83,1,19,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_F13,84,1,26,18,35,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1166_1_2_P15,84,1,26,18,0,0,35,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1166_1_2_G13,84,1,26,18,0,0,35,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1166_1_2_P12,84,2,22,17,35,22,35,22,35,22,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1227_1_2_J08,91,1,26,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_O05,91,1,26,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_K05,96,1,44,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_1_G19,96,1,44,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_1_N02,96,1,44,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_6_L01,98,1,27,22,23,17,10,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23,23
1284_1_5_O03,98,1,27,22,23,17,0,0,10,8,NA,NA,NA,NA,NA,NA,NA,NA,23,23
1284_1_5_G01,98,2,22,17,18,15,10,8,10,8,NA,NA,NA,NA,NA,NA,NA,NA,18,18
1284_1_4_C06,98,3,34,26,23,16,18,14,23,16,NA,NA,NA,NA,NA,NA,NA,NA,23,23
1166_1_1_G18,111,1,29,20,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
1166_1_2_H15,111,2,27,19,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
1166_1_2_A07,147,1,23,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_N01,147,1,17,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_G03,151,1,19,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_G09,151,1,19,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_I08,158,1,25,16,2,1,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
1166_1_2_N02,158,2,25,17,13,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
1166_1_2_M08,158,3,21,16,13,6,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
1284_1_6_J05,175,1,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_O03,175,2,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_F01,175,3,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_4_D04,175,4,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_4_O01,175,4,29,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_5_N03,175,4,29,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_4_C05,182,1,24,20,23,14,35,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1284_1_6_N03,182,2,34,24,35,22,33,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1284_1_6_A02,182,3,20,15,23,15,33,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33
1166_1_2_E05,202,1,17,12,14,11,17,12,10,6,10,7,0,0,0,0,10,6,17,17
1166_1_2_N05,202,1,17,12,14,11,0,0,17,12,10,6,10,7,0,0,10,6,17,17
1166_1_2_L14,202,1,17,12,14,11,0,0,17,12,10,6,10,7,0,0,10,6,17,17
1166_1_2_I11,202,2,22,12,19,11,10,6,16,10,15,7,10,6,10,6,0,0,19,19
1166_1_2_M12,202,2,22,12,19,11,10,6,16,10,0,0,15,7,10,6,10,6,19,19
1166_1_2_D03,202,3,26,16,25,17,17,12,16,10,21,13,17,12,17,12,16,10,25,25
1166_1_2_J03,202,4,24,16,14,10,25,16,19,10,4,4,14,10,14,10,19,10,25,25
1166_1_2_F12,202,5,20,12,4,4,10,7,21,13,15,7,10,7,10,7,15,7,21,21
1166_1_2_D08,203,1,17,11,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1166_1_2_C09,203,2,17,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1166_1_2_D09,212,1,24,16,8,6,8,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8
1166_1_2_J12,212,1,28,19,11,7,0,0,12,7,NA,NA,NA,NA,NA,NA,NA,NA,12,12
1166_1_2_N10,212,2,31,18,9,6,0,0,11,7,NA,NA,NA,NA,NA,NA,NA,NA,11,11
1166_1_2_E15,212,2,32,19,0,0,9,6,12,7,NA,NA,NA,NA,NA,NA,NA,NA,12,12
1284_1_4_E05,213,1,33,26,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24
1284_1_6_D03,213,2,29,21,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24
1166_1_2_H09,214,1,32,26,16,10,8,6,16,10,9,4,NA,NA,NA,NA,NA,NA,16,16
1166_1_2_M05,214,2,19,15,8,3,5,2,8,3,9,4,NA,NA,NA,NA,NA,NA,9,9
1166_1_2_I16,214,3,19,17,6,3,6,3,8,6,5,2,NA,NA,NA,NA,NA,NA,8,8
1166_1_2_L16,214,4,22,17,6,3,0,0,16,9,8,3,NA,NA,NA,NA,NA,NA,16,16
1166_1_2_G08,214,4,22,17,0,0,6,3,16,9,8,3,NA,NA,NA,NA,NA,NA,16,16
1166_1_2_K07,227,1,18,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_K04,227,1,18,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_M07,233,1,16,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_K12,233,1,18,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_L15,235,1,21,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_J05,235,1,35,27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_J08,252,1,36,28,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
1166_1_2_M09,252,2,34,25,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
1166_1_2_D05,256,1,18,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_H02,256,1,18,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_4_A05,272,1,37,23,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
1284_1_5_N04,272,1,29,17,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
1284_1_1_N09,272,1,37,23,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
1284_1_3_J02,276,1,26,18,5,3,13,5,11,4,0,0,11,4,0,0,NA,NA,13,13
1284_1_1_H07,276,1,28,19,0,0,5,3,14,6,11,4,11,4,0,0,NA,NA,14,14
1284_1_1_B07,276,1,23,16,0,0,4,2,11,4,11,4,0,0,11,4,NA,NA,11,11
1284_1_6_G03,276,2,23,16,5,3,11,5,7,2,5,3,7,2,4,2,NA,NA,11,11
1284_1_5_F01,276,3,23,15,13,5,11,5,0,0,14,6,0,0,11,4,NA,NA,14,14
1284_1_5_K01,276,3,16,11,11,4,7,2,0,0,11,4,0,0,11,4,NA,NA,11,11
1284_1_5_C01,276,3,16,11,11,4,7,2,0,0,0,0,11,4,11,4,NA,NA,11,11
1166_1_2_F14,291,1,31,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_J16,291,1,31,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_J07,291,1,31,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_N13,293,1,12,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
1166_1_2_C12,293,1,9,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
1166_1_2_H13,295,1,19,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_1_D14,295,1,19,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_4_A03,300,1,55,41,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19
1284_1_6_C04,300,2,62,45,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19
1166_1_2_D11,310,1,12,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_F04,310,1,12,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_B03,318,1,35,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_A11,318,1,35,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_F15,319,1,30,20,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12
1166_1_2_I02,319,2,34,19,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12
1284_1_5_A04,325,1,44,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_1_A09,325,1,44,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_6_H02,329,1,23,14,12,7,6,2,26,16,NA,NA,NA,NA,NA,NA,NA,NA,26,26
1284_1_5_A06,329,2,40,27,28,17,6,2,35,20,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1284_1_6_H01,329,3,39,27,12,8,28,17,36,25,NA,NA,NA,NA,NA,NA,NA,NA,36,36
1284_1_5_P01,329,4,32,25,36,25,26,17,35,20,NA,NA,NA,NA,NA,NA,NA,NA,36,36
1166_1_2_A10,333,1,33,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_N03,333,1,33,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_B06,335,1,15,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_G12,335,1,15,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_5_C05,336,1,28,15,15,11,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16
1284_1_1_F01,336,2,19,12,15,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15
1284_1_5_F05,336,2,29,19,0,0,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16
1166_1_2_C11,354,1,27,21,13,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
1166_1_2_N07,354,1,21,16,0,0,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11
1166_1_2_H08,354,2,26,20,13,9,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13
1166_1_2_G04,391,1,19,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_F02,391,1,19,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_6_A04,393,1,50,36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_6_E04,393,1,50,36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_B10,394,1,25,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_F07,394,1,25,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_B07,415,1,39,29,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
1227_1_2_H05,415,2,40,31,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
1166_1_1_O04,429,1,18,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_1_O20,429,1,22,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_G03,438,1,36,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_3_E02,438,1,36,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_1_A18,438,1,36,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_4_L02,461,1,35,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_G05,461,2,30,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?